Non targets;;;
hsa-miR-371a-5p;53834;X;Functional MTI
hsa-miR-372-5p;53834;X;Functional MTI
hsa-miR-373-5p;53834;X;Functional MTI
hsa-miR-374a-5p;5893;X;Functional MTI
hsa-miR-375;5893;X;Functional MTI
hsa-miR-376a-5p;993;X;Functional MTI
hsa-miR-377-5p;993;X;Functional MTI
hsa-miR-378a-5p;993;X;Functional MTI
hsa-miR-379-5p;993;X;Functional MTI
hsa-miR-380-5p;596;X;Functional MTI
hsa-miR-381-5p;596;X;Functional MTI
hsa-miR-382-5p;596;X;Functional MTI
hsa-miR-383-5p;596;X;Functional MTI
hsa-miR-340-5p;596;X;Functional MTI
hsa-miR-330-5p;596;X;Functional MTI
hsa-miR-328-5p;596;X;Functional MTI
hsa-miR-342-5p;84305;X;Functional MTI
hsa-miR-337-5p;7466;X;Functional MTI
hsa-miR-323a-5p;56889;X;Functional MTI
hsa-miR-326;57142;X;Functional MTI
hsa-miR-151a-5p;57142;X;Functional MTI
hsa-miR-135b-5p;6201;X;Functional MTI
hsa-miR-148b-5p;6201;X;Functional MTI
hsa-miR-331-5p;6201;X;Functional MTI
hsa-miR-324-5p;6201;X;Functional MTI
hsa-miR-338-5p;6201;X;Functional MTI
hsa-miR-339-5p;6201;X;Functional MTI
hsa-miR-335-5p;6201;X;Functional MTI
hsa-miR-133b;6201;X;Functional MTI
hsa-miR-325;6201;X;Functional MTI
hsa-miR-345-5p;6201;X;Functional MTI
hsa-miR-346;6201;X;Functional MTI
hsa-miR-384;6201;X;Functional MTI
hsa-miR-196b-5p;6201;X;Functional MTI
hsa-miR-422a;6201;X;Functional MTI
hsa-miR-423-5p;6201;X;Functional MTI
hsa-miR-424-5p;6201;X;Functional MTI
hsa-miR-425-5p;6201;X;Functional MTI
hsa-miR-18b-5p;8985;X;Functional MTI
hsa-miR-20b-5p;5161;X;Functional MTI
hsa-miR-448;64151;X;Functional MTI
hsa-miR-429;79139;X;Functional MTI
hsa-miR-449a;79139;X;Functional MTI
hsa-miR-450a-5p;10409;X;Functional MTI
hsa-miR-431-5p;182;X;Functional MTI
hsa-miR-433-5p;182;X;Functional MTI
hsa-miR-329-5p;182;X;Functional MTI
hsa-miR-329-5p;5978;X;Functional MTI
hsa-miR-451a;9338;X;Functional MTI
hsa-miR-452-5p;595;X;Functional MTI
hsa-miR-409-5p;595;X;Functional MTI
hsa-miR-412-5p;595;X;Functional MTI
hsa-miR-410-5p;595;X;Functional MTI
hsa-miR-376b-5p;595;X;Functional MTI
hsa-miR-483-5p;595;X;Functional MTI
hsa-miR-484;595;X;Functional MTI
hsa-miR-485-5p;595;X;Functional MTI
hsa-miR-486-5p;595;X;Functional MTI
hsa-miR-487a-5p;1869;X;Functional MTI
hsa-miR-488-5p;1869;X;Functional MTI
hsa-miR-489-5p;1869;X;Functional MTI
hsa-miR-490-5p;1869;X;Functional MTI
hsa-miR-491-5p;1869;X;Functional MTI
hsa-miR-511-5p;1869;X;Functional MTI
hsa-miR-146b-5p;1869;X;Functional MTI
hsa-miR-202-5p;659;X;Functional MTI
hsa-miR-492;659;X;Functional MTI
hsa-miR-493-5p;4233;X;Functional MTI
hsa-miR-432-5p;4233;X;Functional MTI
hsa-miR-494-5p;4233;X;Functional MTI
hsa-miR-495-5p;4211;X;Functional MTI
hsa-miR-496;3206;X;Functional MTI
hsa-miR-193b-5p;596;X;Functional MTI
hsa-miR-497-5p;596;X;Functional MTI
hsa-miR-181d-5p;596;X;Functional MTI
hsa-miR-512-5p;596;X;Functional MTI
hsa-miR-512-5p;10381;X;Functional MTI
hsa-miR-498;10381;X;Functional MTI
hsa-miR-520e;10381;X;Functional MTI
hsa-miR-515-5p;10381;X;Functional MTI
hsa-miR-519e-5p;648;X;Functional MTI
hsa-miR-520f-5p;648;X;Functional MTI
hsa-miR-515-5p;648;X;Functional MTI
hsa-miR-519c-5p;648;X;Functional MTI
hsa-miR-520a-5p;5782;X;Functional MTI
hsa-miR-526b-5p;1749;X;Functional MTI
hsa-miR-519b-5p;3280;X;Functional MTI
hsa-miR-525-5p;3280;X;Functional MTI
hsa-miR-523-5p;10099;X;Functional MTI
hsa-miR-518f-5p;10099;X;Functional MTI
hsa-miR-520b;90;X;Functional MTI
hsa-miR-518b;6702;X;Functional MTI
hsa-miR-526a;6280;X;Functional MTI
hsa-miR-520c-5p;3852;X;Functional MTI
hsa-miR-518c-5p;7465;X;Functional MTI
hsa-miR-524-5p;7465;X;Functional MTI
hsa-miR-517-5p;7465;X;Functional MTI
hsa-miR-519d-5p;7465;X;Functional MTI
hsa-miR-521;1871;X;Functional MTI
hsa-miR-520d-5p;1871;X;Functional MTI
hsa-miR-517-5p;1871;X;Functional MTI
hsa-miR-520g-5p;1021;X;Functional MTI
hsa-miR-516b-5p;1021;X;Functional MTI
hsa-miR-526a;1021;X;Functional MTI
hsa-miR-518e-5p;595;X;Functional MTI
hsa-miR-518a-5p;595;X;Functional MTI
